,Unnamed: 0,artist,song,uri
70,70, Vance Joy ,Riptide,3JvrhDOgAt6p7K8mDyZwRd
71,71, Jidenna featuring Roman GianArthur ,Classic Man,3G7XYAwtxtoGK7fAm4IlD9
72,72, Elle King ,Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH
73,73, Meghan Trainor ,Dear Future Husband,3cU2wBxuV6nFiuf6PJZNlC
74,74, Charlie Puth featuring Meghan Trainor ,Marvin Gaye,7tqhbajSfrz2F7E1Z75ASX
75,75, Meghan Trainor featuring John Legend ,Like I'm Gonna Lose You,2YlZnw2ikdb837oKMKjBkW
76,76, Tove Lo ,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB
77,77, James Newton Howard featuring Jennifer Lawrence ,The Hanging Tree,416MsJxvxSKY96DCmbJIRs
78,78, O.T. Genasis ,CoCo,0aMHIW1lqrulVCx0LLlr6a
79,79," Jessie J, Ariana Grande, and Nicki Minaj ",Bang Bang,0puf9yIluy9W0vpMEUoAnN
80,80, Sam Smith ,Lay Me Down,64GRDrL1efgXclrhVCeuA0
81,81, ILoveMakonnen featuring Drake ,Tuesday,64sn7wgJfeQKY3Jisnl59w
82,82, iLoveMemphis ,Hit the Quan,4OjuzM3rTWp3q60mEldNSF
83,83," Macklemore and Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee, and Grandmaster Caz ",Downtown,3Ga6eKrUFf12ouh9Yw3v2D
84,84, Sam Hunt ,House Party,1TwLKNsCnhi1HxbIi4bAW0
85,85, Chris Brown and Tyga ,Ayo,0k6DnZMLoEUH8NGD5zh2SE
86,86, Luke Bryan ,Kick the Dust Up,5g15o2Sm55Hn9ShK5yEXgp
87,87, Big Sean featuring Drake ,Blessings,1bzM1cd6oqFozdr4wK6HdR
88,88, George Ezra ,Budapest,2ixsaeFioXJmMgkkbd4uj1
89,89, Sia ,Chandelier,1cwqP7Tyxu5z8XDYoPkNte
90,90, Kelly Clarkson ,Heartbeat Song,7FC9Lng8iXU081lbigu8m8
91,91, Ed Sheeran ,Don't,3pXF1nA74528Edde4of9CC
92,92, Ella Henderson ,Ghost,4h5x3XHLVYFJaItKuO2rhy
93,93, Alessia Cara ,Here,78Sw5GDo6AlGwTwanjXbGh
94,94, Mr Probz ,Waves,3nAq2hCr1oWsIU54tS98pL
95,95, Nicky Jam and Enrique Iglesias ,El Perdón,7qCAVkHWZkF44OzOUKf8Cr
96,96, Ne-Yo featuring Juicy J ,She Knows,0Fs9cdPDhptWEDJmiCbkEW
97,97, One Direction ,Night Changes,5O2P9iiztwhomNh8xkR9lJ
98,98, Drake ,Back to Back,5lFDtgWsjRJu8fPOAyJIAK
99,99, Calvin Harris and Disciples ,How Deep Is Your Love,22mek4IiqubGD9ctzxc69s
100,100,Sam Smith & Kim Petras,Unholy,3nqQXoyQOWXiESFLlDF1hG
101,101,David Guetta & Bebe Rexha,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK
102,102,Kane Brown & Katelyn Brown,Thank God,1brnLTvarI9D1hLP6z2Ar8
103,103,Fleetwood Mac,Everywhere,254bXAqt3zP6P50BdQvEsq
104,104,HARDY & Lainey Wilson,wait in the truck,7trjNYF5ek7zX4GKSHQZbP
105,105,Christina Perri,A Thousand Years,6lanRgr6wXibZr8KgzXxBl
106,106,Jelly Roll,Son Of A Sinner,25VQoiuyc0HkC5FQTj1a8G
107,107,Morgan Wallen,You Proof,5uU1uuyaUIBOiiUSQG7Wl3
108,108,Sia,Unstoppable,1yvMUkIOTeUNtNWlWRgANS
109,109,Charlie Puth & Jung Kook,Left and Right,0mBP9X2gPCuapvpZ7TGDk3
110,110,OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB
111,111,Beyoncé,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS
112,112,Chris Brown,Under the Influence,5IgjP7X4th6nMNDh4akUHb
113,113,Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3
114,114,Cole Swindell,She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46
115,115,Bailey Zimmerman,Fall In Love,5gVCfYmQRPy1QJifP8f5gg
116,116,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5
117,117,Luke Combs,The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa
118,118,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7
119,119,Eminem,Lose Yourself,5Z01UMMf7V1o0MzF86s6WJ
120,120,Rascal Flatts,Life Is a Highway,2Fs18NaCDuluPG1DHGw1XG
121,121,Lady Gaga & Bradley Cooper,Shallow,2VxeLyX666F8uXCJ0dZF8B
122,122,Nicki Minaj,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp
123,123,Queen,Face It Alone,7B9ehg3KwmVCB1Eybf9kEV
124,124,Nicky Youre & Dazy,Sunroof,4h4QlmocP3IuwYEj2j14p8
125,125,Ed Sheeran,Celestial,4zrKN5Sv8JS5mqnbVcsul7
126,126,Bread,Make It With You,7wWw7hBmErNg9u5w6Xx0vy
127,127,Lizzo,About Damn Time,1PckUlxKqWQs3RlWXVBLw3
128,128,Ellie Goulding,Love Me Like You Do,0Cy7wt6IlRfBPHXXjmZbcP
